Bike Station,Latitude,longitude,POI Name,Address,Rating
Queens Quay & Yonge St,43.6430184,-79.3757759,The Butcher Chef,8 Harbour St,4.6
Queens Quay & Yonge St,43.640966,-79.375601,Don Alfonso 1890,1 Harbour Square,4.1
Queens Quay & Yonge St,43.6412346,-79.3773697,Miku,105-10 Bay Street,4.2
Queens Quay & Yonge St,43.6406672,-79.3857124443711,Steam Whistle Kitchen,255 Bremner Boulevard,4.2
Queens Quay & Yonge St,43.64085,-79.37871,Impact Kitchen,88 Queens Quay W,4.4
Queens Quay & Yonge St,43.64784,-79.38872,Pai Northern Thai Kitchen,18 Duncan Street,4.4
Queens Quay & Yonge St,43.64325,-79.37636,Mama Lee's Korean Kitchen,16 Yonge Street,4.3
Queens Quay & Yonge St,43.64995,-79.37976,The Rabbit Hole,21 Adelaide Street W,4.1
Queens Quay & Yonge St,43.64177851099536,-79.3793856918259,Kinka Izakaya Bar Izakaya- Harbourfront,110 Harbour Street,4.0
Queens Quay & Yonge St,43.641602,-79.383301,Evviva Breakfast & Lunch,25 Lower Simcoe,3.8
Queens Quay & Yonge St,43.6462867067857,-79.3788714800065,Chotto Matte,161 Bay Street,3.9
Queens Quay & Yonge St,43.644036,-79.37753,Aloette Bay,81 Bay Street,4.3
Queens Quay & Yonge St,43.64398464206703,-79.377539,Friday Burger,81 Bay Street,4.3
Queens Quay & Yonge St,43.64762587463226,-79.3764915055223,Cafe Landwer- Front,33 Yonge Street,4.4
Queens Quay & Yonge St,43.64147,-79.37522,Alexandros,5 Queens Quay W,3.6
Queens Quay & Yonge St,43.6417148967486,-79.3757710173493,My Roti Place,12 Queens Quay W,3.8
Queens Quay & Yonge St,43.64583140000001,-79.3819623,Library Bar,100 Front Street W,4.1
Queens Quay & Yonge St,43.64783286048877,-79.37335950322061,Amano Trattoria,9 Church Street,4.2
Queens Quay & Yonge St,43.64940455,-79.38289144,Edna + Vita,77 Adelaide St W,4.3
Queens Quay & Yonge St,43.645241899630015,-79.38131876350222,Kibo Market,65 Front Street W,4.8
Queens Quay & Yonge St,43.63846783255385,-79.3818515921703,The Power Plant Contemporary Art Gallery,231 Queens Quay W,4.3
Queens Quay & Yonge St,43.65361628236308,-79.39250626711919,Art Gallery of Ontario,317 Dundas Street West,4.3
Queens Quay & Yonge St,43.642937210334935,-79.3741862,Immersive Van Gogh Exhibit,1 Yonge Street,3.1
Queens Quay & Yonge St,43.65032,-79.35912,Corkin Gallery,7 Tank House Lane,4.0
Queens Quay & Yonge St,43.65292,-79.37183,Nicholas Metivier Gallery,190 Richmond St E,0.0
Queens Quay & Yonge St,43.65423,-79.39267,Bau-Xi Gallery,340 Dundas Street W,4.0
Queens Quay & Yonge St,43.649972079121355,-79.38322387258135,Verno Art Studios,120 Adelaide Street W,5.0
Queens Quay & Yonge St,43.6425099,-79.3745239,The Art of Banksy,1 Yonge Street,4.0
Queens Quay & Yonge St,43.64166,-79.37604,Inuit Art-Eskimo Art Gallery,12 Queens Quay W,0.0
Queens Quay & Yonge St,43.64782658166067,-79.37868394661265,Collision Gallery,30 Wellington Street W,0.0
Queens Quay & Yonge St,43.65413,-79.36117,Bottē Gallery,398 King Street E,0.0
Queens Quay & Yonge St,43.64974,-79.36105,Arta Gallery,14 Distillery Lane,4.0
Queens Quay & Yonge St,43.6501610975744,-79.3596411136873,Thompson Landry Gallery,55 Mill Street,3.3
Queens Quay & Yonge St,43.6543287844205,-79.3922368437052,Mayberry Fine Art,324 Dundas Street West,1.0
Queens Quay & Yonge St,43.64986750091855,-79.37366770337918,Toronto Sculpture Garden,115 King St E,3.6
Queens Quay & Yonge St,43.6499499,-79.35851,Artscape Distillery Studios,15 Case Goods Lane,0.0
Queens Quay & Yonge St,43.64656218853344,-79.39050313780471,Tiff,350 King Street W,4.0
Queens Quay & Yonge St,43.6389155063634,-79.38188386648048,Harbourfront Centre,235 Queens Quay W,4.0
Queens Quay & Yonge St,43.6499499,-79.35851,Proof Studio Gallery,15 Case Goods Lane,5.0
Queens Quay & Yonge St,43.653,-79.39117,OCAD UNIVERSITY,100 McCaul Street,3.5
Union Station,43.64995,-79.37976,The Rabbit Hole,21 Adelaide Street W,4.1
Union Station,43.64784,-79.38872,Pai Northern Thai Kitchen,18 Duncan Street,4.4
Union Station,43.6430184,-79.3757759,The Butcher Chef,8 Harbour St,4.6
Union Station,43.64583140000001,-79.3819623,Library Bar,100 Front Street W,4.1
Union Station,43.6406672,-79.3857124443711,Steam Whistle Kitchen,255 Bremner Boulevard,4.2
Union Station,43.6462867067857,-79.3788714800065,Chotto Matte,161 Bay Street,3.9
Union Station,43.64940455,-79.38289144,Edna + Vita,77 Adelaide St W,4.3
Union Station,43.648968713601,-79.384350052184,LOCAL Public Eatery Adelaide,141 Adelaide Street West,4.1
Union Station,43.64762587463226,-79.3764915055223,Cafe Landwer- Front,33 Yonge Street,4.4
Union Station,43.645322,-79.380408,Sansotei Ramen,65 Front Street W,4.4
Union Station,43.645241899630015,-79.38131876350222,Kibo Market,65 Front Street W,4.8
Union Station,43.641602,-79.383301,Evviva Breakfast & Lunch,25 Lower Simcoe,3.8
Union Station,43.64303,-79.38379,The Roof at SOCO,75 Lower Simcoe Street,4.0
Union Station,43.64916277832499,-79.37895502342164,Joey- King Street,20 King Street W,5.0
Union Station,43.646954,-79.382159,Canoe,66 Wellington Street  W,4.1
Union Station,43.64085,-79.37871,Impact Kitchen,88 Queens Quay W,4.4
Union Station,43.647546,-79.388123,Byblos,11 Duncan Street,4.4
Union Station,43.6486379269,-79.3817439,King Taps,100 King Street W,3.9
Union Station,43.64560743132035,-79.38174040326635,Clockwork Champagne & Cocktails,100 Front Street W,4.3
Union Station,43.64488931941005,-79.37980347052275,Shake Shack,65 Front Street W,4.3
Union Station,43.63846783255385,-79.3818515921703,The Power Plant Contemporary Art Gallery,231 Queens Quay W,4.3
Union Station,43.64775,-79.39471,401 Richmond,401 Richmond Street W,4.6
Union Station,43.65361628236308,-79.39250626711919,Art Gallery of Ontario,317 Dundas Street West,4.3
Union Station,43.649972079121355,-79.38322387258135,Verno Art Studios,120 Adelaide Street W,5.0
Union Station,43.642937210334935,-79.3741862,Immersive Van Gogh Exhibit,1 Yonge Street,3.1
Union Station,43.6527434,-79.39451269999999,Charles Pachter,22 Grange Avenue,5.0
Union Station,43.64813943698649,-79.39888549999999,Graffiti Alley,513 Queen Street W,4.5
Union Station,43.64775,-79.39471,Abbozzo Gallery,401 Richmond Street W,0.0
Union Station,43.65423,-79.39267,Bau-Xi Gallery,340 Dundas Street W,4.0
Union Station,43.65292,-79.37183,Nicholas Metivier Gallery,190 Richmond St E,0.0
Union Station,43.64782658166067,-79.37868394661265,Collision Gallery,30 Wellington Street W,0.0
Union Station,43.6543287844205,-79.3922368437052,Mayberry Fine Art,324 Dundas Street West,1.0
Union Station,43.64986750091855,-79.37366770337918,Toronto Sculpture Garden,115 King St E,3.6
Union Station,43.64656218853344,-79.39050313780471,Tiff,350 King Street W,4.0
Union Station,43.6425099,-79.3745239,The Art of Banksy,1 Yonge Street,4.0
Union Station,43.64166,-79.37604,Inuit Art-Eskimo Art Gallery,12 Queens Quay W,0.0
Union Station,43.64775,-79.39471,Gallery 44,401 Richmond Street W,0.0
Union Station,43.65668,-79.38065,Little Canada,10 Dundas St E,4.8
Union Station,43.6389155063634,-79.38188386648048,Harbourfront Centre,235 Queens Quay W,4.0
Union Station,43.6481523,-79.3992151,Off the Wall Art & Framing,450 Queen Street W,3.4
Spadina Ave & Front St W,43.645002131066,-79.400309337027,Gusto 101,101 Portland Street,4.0
Spadina Ave & Front St W,43.64784,-79.38872,Pai Northern Thai Kitchen,18 Duncan Street,4.4
Spadina Ave & Front St W,43.64321331537325,-79.39695987850428,La Plume,453 Wellington Street West,4.2
Spadina Ave & Front St W,43.643996,-79.399495,Maxime's,77 Portland Street,4.6
Spadina Ave & Front St W,43.64855831176563,-79.395963,Aloette,163 Spadina Avenue,4.3
Spadina Ave & Front St W,43.64511981042632,-79.39534954726696,Miss Likklemore's,433 King Street W,4.5
Spadina Ave & Front St W,43.64532,-79.40066,Chubby's Jamaican Kitchen,104 Portland Street,4.2
Spadina Ave & Front St W,43.64743,-79.39308,The Haam,342 Adelaide St W,4.2
Spadina Ave & Front St W,43.643393311738,-79.3922074406298,Siempre Restaurant,348 Front Street W,3.9
Spadina Ave & Front St W,43.64402,-79.39078,Vagabondo Restobar,310 Front Street W,4.1
Spadina Ave & Front St W,43.6406672,-79.3857124443711,Steam Whistle Kitchen,255 Bremner Boulevard,4.2
Spadina Ave & Front St W,43.646412027881496,-79.39361985450327,Khao San Road,11 Charlotte Street,3.9
Spadina Ave & Front St W,43.647546,-79.388123,Byblos,11 Duncan Street,4.4
Spadina Ave & Front St W,43.64823,-79.39494,Cheffry's Artisanal Bistro,388 Richmond Street W,4.8
Spadina Ave & Front St W,43.64423,-79.40015,Ruby Soho,587 King St W,4.1
Spadina Ave & Front St W,43.64354,-79.39615,L’Avenue,433 Wellington St W,3.9
Spadina Ave & Front St W,43.647147,-79.3962388,Avenue Open Kitchen,7 Camden Street,4.3
Spadina Ave & Front St W,43.644948,-79.396846,Rodney's Oyster House,469 King Street W,4.1
Spadina Ave & Front St W,43.6444681167682,-79.3960904,Paris Texas,461 King Street W,4.0
Spadina Ave & Front St W,43.648053177358186,-79.39008610206244,Paradise Grotto,270 Adelaide St W,4.3
Spadina Ave & Front St W,43.64775,-79.39471,401 Richmond,401 Richmond Street W,4.6
Spadina Ave & Front St W,43.64813943698649,-79.39888549999999,Graffiti Alley,513 Queen Street W,4.5
Spadina Ave & Front St W,43.65361628236308,-79.39250626711919,Art Gallery of Ontario,317 Dundas Street West,4.3
Spadina Ave & Front St W,43.63846783255385,-79.3818515921703,The Power Plant Contemporary Art Gallery,231 Queens Quay W,4.3
Spadina Ave & Front St W,43.6527434,-79.39451269999999,Charles Pachter,22 Grange Avenue,5.0
Spadina Ave & Front St W,43.64775,-79.39471,Abbozzo Gallery,401 Richmond Street W,0.0
Spadina Ave & Front St W,43.65589,-79.40228,Orbital Arts,275 Augusta Avenue,4.9
Spadina Ave & Front St W,43.65423,-79.39267,Bau-Xi Gallery,340 Dundas Street W,4.0
Spadina Ave & Front St W,43.649972079121355,-79.38322387258135,Verno Art Studios,120 Adelaide Street W,5.0
Spadina Ave & Front St W,43.65242,-79.40085,Whippersnapper Gallery,594 Dundas St W,4.5
Spadina Ave & Front St W,43.6481523,-79.3992151,Off the Wall Art & Framing,450 Queen Street W,3.4
Spadina Ave & Front St W,43.64656218853344,-79.39050313780471,Tiff,350 King Street W,4.0
Spadina Ave & Front St W,43.64775,-79.39471,Gallery 44,401 Richmond Street W,0.0
Spadina Ave & Front St W,43.6463509,-79.3967819,Banksy,391 Adelaide Street W,1.0
Spadina Ave & Front St W,43.64556,-79.40565,Birch Contemporary,129 Tecumseth Street,0.0
Spadina Ave & Front St W,43.6418488,-79.3971969,Arcadia Earth,486 Front Street W,4.8
Spadina Ave & Front St W,43.6543287844205,-79.3922368437052,Mayberry Fine Art,324 Dundas Street West,1.0
Spadina Ave & Front St W,43.6444533204093,-79.3983849376019,Unzipped Toronto,525 King St W,4.0
Spadina Ave & Front St W,43.64605,-79.39558,Moore Gallery,80 Av Spadina,0.0
Spadina Ave & Front St W,43.64775,-79.39471,Wynick-Tuck Gallery,401 Richmond Street W,0.0
